Variable / Field Name,Form Name,Section Header,Field type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
address1_street2,contact_information,Subject contact information for follow up. Stored locally unless needed for long-term follow up.Leave blank if unavailable,text,Primary address-Street (part 2),,,,,,y,"((([dispo] <> ""0"" AND [dispo_death_date] = """" AND [dispo_late_death_yn] <> ""1"") OR [address1_street2]<>'') AND ((([elig_eval_coral] = '2' AND [enroll_coral] = '1') OR [address1_street2]<>'')))",,,,,,
address1_zip,baselinecontact,Identifiers & zip code,text,Primary address-ZIP code,,Enter 99999 if unknown or not available.,zipcode,,,y,(([enroll_coral] = '1' OR [enroll_coralreef]='1')),y,,,,,
admit_site,inclusion,Eligibility: COVID-associated hospitalization,dropdown,Admission hospital,"140001, ALIGNE - Baystate Medical Center [A01] |141001, ALIGNE - Brigham and Women's Hospital [A03] |142001, ALIGNE - MaineHealth [A04] |143001, ALIGNE - Tufts|144001, ALIGNE - University of Florida Health [A06] |145001, ALIGNE - Yale New Haven Hospital [A05] |150001, Boston - Beth Israel Medical Center [B01] |151001, Boston - Hennepin County Medical Center [B06] |152001, Boston - Massachusetts General Hospital [B02] |153001, Boston - Southdale Hospital [B07] |154001, Boston - St. Vincent Hospital [B03] |151002, Boston - University of Minnesota Medical Center [B05] |155001, Boston - University of Mississippi Medical Center [B04] |160004, California - UCLA Ronald Reagan [C05] |161001, California - Stanford University Hospital [C04] |162001, California - U Texas Health Science Center [C06] |160002, California - UC Davis [C03] |160003, California - UCSF Fresno [C02] |160001, California - UCSF San Francisco [C01] |170002, Colorado - Denver Health Medical Center [D04] |173001, Colorado - St. Joseph Hospital (National Jewish) [D06] |170001, Colorado - University of Colorado Hospital [D01] |181001, Michigan - Detroit Receiving Hospital [M05] |182001, Michigan - Harper University Hospital [M06] |183001, Michigan - Henry Ford Medical Center [M02] |184001, Michigan - Indiana University Health Methodist Hospital [M03] |185001, Michigan - Sinai-Grace Hospital [M04] |180001, Michigan - University of Michigan Medical Center [M01] |190001, Montefiore-Sinai - Montefiore Moses [N01] |190002, Montefiore-Sinai - Montefiore North [N04] |190003, Montefiore-Sinai - Montefiore Weiler [N03] |191001, Montefiore-Sinai - Mt. Sinai Hospital [N02] |192001, Montefiore-Sinai - University of Arizona [N05] |210001, Ohio - Cleveland Clinic Foundation [H01] |211001, Ohio - Northwestern University [H06] |212002, Ohio - Ohio State East [H05] |212001, Ohio - Ohio State University Wexner Medical Center [H02] |213001, Ohio - Summa Akron City Hospital|214001, Ohio - University of Cincinnati Medical Center [H03] |205001, Pacific NW - Cedars-Sinai Medical Center [W07] |200002, Pacific NW - Harborview Medical Center [W01] |200003, Pacific NW - Northwest Hospital|204001, Pacific NW - Oregon Health and Science University OHSU [W05] |203001, Pacific NW - Providence Portland Medical Ct|201001, Pacific NW - Swedish Hospital First Hill [W03] |200001, Pacific NW - University of Washington Medical Center [W02] |111001, Pittsburgh - Penn State Hershey Medical Center [P04] |112001, Pittsburgh - Temple University Hospital [P06] |110003, Pittsburgh - UPMC Mercy [P02] |110001, Pittsburgh - UPMC Presbyterian [P01] |110002, Pittsburgh - UPMC Shadyside [P03] |121001, Southeast - Medical University of South Carolina [S07] |122001, Southeast - Moses Cone Hospital|124001, Southeast - University of Kentucky [S06] |123001, Southeast - University Virginia Medical Center [S04] |125001, Southeast - VCU Medical Center [S05] |120001, Southeast - Wake Forest Baptist Health [S01] |126001, Southeast - Wesley Long Hospital|100154, Utah - Intermountain Medical Center [U01] |100128, Utah - LDS Hospital [U02] |100132, Utah - McKay-Dee Hospital [U03] |101001, Utah - University of Utah Health Sciences Center [U05] |100144, Utah - Utah Valley Regional Medical Center [U04] |100116, Utah - Alta View (Intermountain)|100118, Utah - American Fork (Intermountain)|100120, Utah - Bear River (Intermountain)|100122, Utah - Cassia (Intermountain)|100146, Utah - Cedar City (Intermountain)|100125, Utah - Delta (Intermountain)|100126, Utah - Dixie (Intermountain)|100127, Utah - Filmore (Intermountain)|100152, Utah - Garfield (Intermountain)|100182, Utah - Garfield (Intermountain)|100148, Utah - Heber Valley (Intermountain)|100129, Utah - Layton (Intermountain)|100130, Utah - Logan (Intermountain)|100134, Utah - Orem (Intermountain)|100138, Utah - Primaries (Intermountain)|100143, Utah - Park City (Intermountain)|100139, Utah - Riverton (Intermountain)|100140, Utah - Sanpete (Intermountain)|100142, Utah - Sevier Valley (Intermountain)|100370, Utah - TOSH (Intermountain)|131001, Vanderbilt - Duke University Medical Center [V04] |133001, Vanderbilt - University Medical Center (LSU) [V02] |132001, Vanderbilt - University of North Carolina at Chapel Hill [V03] |130001, Vanderbilt - Vanderbilt University Medical Center [V01] |134001, Vanderbilt - Washington University in St. Louis [V05]",,,,,,"(([admit_yn]=""1"" OR [admit_site] <> '') OR [admit_site]<>'')",y,,,,,
address2,contact_information,Subject contact information for follow up. Stored locally unless needed for long-term follow up.Leave blank if unavailable,notes,Secondary address,,,,,,y,"((([dispo] <> ""0"" AND [dispo_death_date] = """" AND [dispo_late_death_yn] <> ""1"") OR [address2]<>'') AND ((([elig_eval_coral] = '2' AND [enroll_coral] = '1') OR [address2]<>'')))",,,,,,
admit_admit_dt,inclusion,Eligibility: COVID-associated hospitalization,text,Date/time of first admission to study hospital,,"If hospital admiision time unavailable, enter time as ""00:00"".",datetime_mdy,01/01/1900 00:00,31/12/2023 23:59,y,"(([admit_yn]=""1"" OR [admit_admit_dt] <> '') OR [admit_admit_dt]<>'')",y,,,,, @HIDEBUTTON
admit_cause,inclusion,Eligibility: COVID-associated hospitalization,yesno,Did COVID-19 contribute to need for hospital admission?,,"Answer ""Yes"" if COVID-19 symptoms (e.g. fever, shortness of breath), disease (e.g. pneumonia), or complications at least in part attributed to COVID-19 (e.g. hypoxemia, ARDS, encephalitis, renal failure) contributed to need for admission to hospital as documented by treating clinicians.",,,,,"(([admit_yn]=""1"" OR [admit_cause] <> '') OR [admit_cause]<>'')",y,,,,,
elig_fever,inclusion,"Eligibility: COVID-19 symptoms and complications. When evaluating symptom/history based elements: If history was able to be obtained and symptom noted, choose ""Yes"". If history was able to be obtained and symptom is either denied or was not specifically noted, choose ""No"". If clinicians were unable to obtain any history about patient, choose ""unknown""",radio,History of self reported feverishness or measured fever of ≥38˚C (≥100.4˚F),"1, Yes | 0, No|9, Unknown",,,,,,,y,,,,,
elig_cough,inclusion,"Eligibility: COVID-19 symptoms and complications. When evaluating symptom/history based elements: If history was able to be obtained and symptom noted, choose ""Yes"". If history was able to be obtained and symptom is either denied or was not specifically noted, choose ""No"". If clinicians were unable to obtain any history about patient, choose ""unknown""",radio,Cough,"1, Yes | 0, No|9, Unknown",,,,,,,y,,,,,
elig_dyspnea,inclusion,"Eligibility: COVID-19 symptoms and complications. When evaluating symptom/history based elements: If history was able to be obtained and symptom noted, choose ""Yes"". If history was able to be obtained and symptom is either denied or was not specifically noted, choose ""No"". If clinicians were unable to obtain any history about patient, choose ""unknown""",radio,Dyspnea (shortness of breath) OR tachypnea,"1, Yes | 0, No|9, Unknown",Tachypnea defined as: Age <1 year: ≥50 breaths per minute Age 1-4 years: ≥40 breaths per minute Age 5-12 years: ≥20 breaths per minute Age ≥13 years: ≥20 breaths per minute,,,,,,y,,,,,
elig_ari,inclusion,"Eligibility: COVID-19 symptoms and complications. When evaluating symptom/history based elements: If history was able to be obtained and symptom noted, choose ""Yes"". If history was able to be obtained and symptom is either denied or was not specifically noted, choose ""No"". If clinicians were unable to obtain any history about patient, choose ""unknown""",radio,"Clinical suspicion of acute respiratory infection (ARI) despite not meeting criteria above (e.g. hypoxemia, diagnosis of pneumonia, bilateral pulmonary opacities)","1, Yes | 0, No","Answer ""YES"" if documented diagnosis of respiratory infection OR treatment specifically for a pneumonia OR new hypoxemia OR bilateral opacities on chest imaging. ",,,,,"(((([elig_fever] = ""0"" OR [elig_fever] = ""9"") AND ([elig_cough] = ""0"" OR [elig_cough] = ""9"") AND ([elig_dyspnea] = ""0"" OR [elig_dyspnea] = ""9"")) OR [elig_ari] <> '') OR [elig_ari]<>'')",y,,,,,
elig_eval_coral,inclusion,Eligibility: CORAL-specific eligibility,radio,Is patient being evaluated for retrospective (RED CORAL) or prospective (BLUE CORAL) cohort?,"1, Retrospective cohort (RED CORAL) | 2, Prospective cohort (BLUE CORAL) |0, Not evaluated for CORAL",,,,,,(([admit_yn] = '1' AND [cx_covid_pos_ever_yn] = '1' AND  ([elig_cough] = '1' OR [elig_dyspnea] = '1' OR [elig_fever] = '1' OR [elig_ari] = '1')) OR [elig_eval_coral]<>''),y,,,,, @HIDECHOICE='0'
elig_prisoner,inclusion,Eligibility: CORAL-specific eligibility,radio,Known to be a prisoner or otherwise in legal custody at time of admission to the hospital,"1, Yes | 0, No","Review ED note and hospital admission note (HPI, social history)",,,,,(([elig_eval_coral]='1' OR [elig_eval_coral] = '2') OR [elig_prisoner]<>''),y,,,,,
elig_priorenroll,inclusion,Eligibility: CORAL-specific eligibility,radio,Previous admission for COVID-19,"1, Yes | 0, No",,,,,,(([elig_eval_coral]='1' OR [elig_eval_coral] = '2') OR [elig_priorenroll]<>''),y,,,,,
elig_icu,inclusion,Eligibility: CORAL-specific eligibility,radio,Was patient admitted to ICU during hospitalization?,"1, Yes | 0, No","Answer ""No"" if patient's highest level of care was an ""intermediate care"" or ""step down"" unit",,,,,(([elig_eval_coral]='1') OR [elig_icu]<>''),y,,,,,
elig_cmo,inclusion,Eligibility: CORAL-specific eligibility,radio,"On day of screening for prospective CORAL enrollment cohort, was patient on ""comfort care"" or expected to transition to comfort care?","1, Yes | 0, No","Comfort care includes patients who are on hospice, ""comfort-focused care,"" ""comfort measures, or have ""comfort measures only"" code status. Review admission and hospital progress note for days #1-2.",,,,,((([elig_eval_coral] = '2' AND [admit_cause] = '1')) OR [elig_cmo]<>''),y,,,,,
admit_cause_other,inclusion,Eligibility: COVID-associated hospitalization,text,"Reason for admission if other than COVID-19 symptoms, disease, or associated complications",,,,,,,"(([admit_cause] = ""0"" OR [admit_cause_other] <> '') OR [admit_cause_other]<>'')",y,,,,,
admit_dc_dt,summativeoutcomes,"Hospital outcomes. Obtain data from review of discharge summary. If patient is transferred between hospitals within your hospital system, review data from all available hospitalizations to answer summative questions.",text,Hospital discharge/death date/time,,"If patient is transferred within your hospital system, enter the discharge date/time from the final hospital",datetime_mdy,01/10/2019 00:00,31/12/2023 23:59,y,(([enroll_coral] = '1' OR [enroll_coralreef]='1')),y,,,,, @HIDEBUTTON
admit_ed_arrival_dt,inclusion,Eligibility: COVID-associated hospitalization,text,Study hospital ED arrival date/time for ED visit leading to first hospital admission,,"Use first available study ED triage/arrival time. If unavailable, enter ""00:00"" for time.",datetime_mdy,01/01/1900 00:00,31/12/2023 23:59,y,"(([admit_ed_yn]=""1"" OR [admit_ed_arrival_dt] <> '') OR [admit_ed_arrival_dt]<>'')",y,,,,, @HIDEBUTTON
admit_ed_yn,inclusion,Eligibility: COVID-associated hospitalization,yesno,Did this admission occur via the study hospital's ED?,,,,,,,"(([admit_yn]=""1"" OR [admit_ed_yn] <> '') OR [admit_ed_yn]<>'')",y,,,,,
admit_hfd,calculation_pending,Data elements to be calculated using data collected elsewhere,text,Hospital-free days from hospital admit,,Will be calculated from other collected data,number,,,,,,,,,, @HIDDEN
admit_hosp_los,calculation_pending,Data elements to be calculated using data collected elsewhere,text,Total hospital length of stay (from hospital admit),,Will be calculated from other collected data,number,,,,,,,,,, @HIDDEN
admit_icd10_1,optional,Discharge diagnosis ICD-10 codes (electronic query only),text,ICD-10 code #1,,,,,,,(([enroll_coral] = '1' OR [enroll_coralreef]='1')),,,,,,
enroll_coral,inclusion,Study enrollment,radio,Enrolled in CORAL?,"1, Yes | 0, No",All patients enrolled in CORAL begin by being enrolled in the registry.,,,,,((([elig_eval_coral] <> '' AND [elig_eval_coral] <> '0') AND ([studysite_petal] <> '' AND ([cx_covid_yn] = '0' OR ([cx_covid_yn] = '1' AND ([cx_covid_pos_ever_yn] = '0' OR ([cx_covid_pos_ever_yn] = '1' AND [cx_covid1_pos_yn] <>'')))) AND ([admit_yn] = '0' OR ([admit_yn] = '1' AND [admit_cause] <> '')) AND  [elig_fever] <> '' AND [elig_cough] <> '' AND [elig_dyspnea] <> '' AND ([elig_fever]='1' OR [elig_cough] = '1' OR [elig_dyspnea] = '1' OR  [elig_ari] <> '') AND ([admit_yn] = '0' OR [cx_covid_pos_ever_yn] = '0' OR (([elig_fever] = '0' OR [elig_fever] = '9') AND ([elig_cough] = '0' OR [elig_cough] = '9') AND ([elig_dyspnea] = '0' OR [elig_dyspnea] = '9') AND [elig_ari] ='0') OR [elig_eval_coral]= '0' OR ([elig_eval_coral] = '1' AND [elig_priorenroll] <> '' AND [elig_prisoner]<>'' AND [elig_icu]<>'') OR ([elig_eval_coral] = '2' AND [elig_priorenroll] <> '' AND [elig_prisoner]<>'' AND ([elig_cmo] <> '' OR [admit_cause] = '0'))))) OR [enroll_coral]<>''),y,,,,,
admit_icd10_10,optional,Discharge diagnosis ICD-10 codes (electronic query only),text,ICD-10 code #10,,,,,,,(([enroll_coral] = '1' OR [enroll_coralreef]='1')),,,,,,
enroll_coralreef,inclusion,Study enrollment,radio,Enrolled in RED CORAL detailed data collection?,"1, Yes | 0, No",Detailed data collection for eligible retrospective (RED CORAL) patients,,,,,((([enroll_coral] = '1' AND [elig_eval_coral] = '1') AND ([studysite_petal] <> '' AND ([cx_covid_yn] = '0' OR ([cx_covid_yn] = '1' AND ([cx_covid_pos_ever_yn] = '0' OR ([cx_covid_pos_ever_yn] = '1' AND [cx_covid1_pos_yn] <>'')))) AND ([admit_yn] = '0' OR ([admit_yn] = '1' AND [admit_cause] <> '')) AND  [elig_fever] <> '' AND [elig_cough] <> '' AND [elig_dyspnea] <> '' AND ([elig_fever]='1' OR [elig_cough] = '1' OR [elig_dyspnea] = '1' OR  [elig_ari] <> '') AND ([admit_yn] = '0' OR [cx_covid_pos_ever_yn] = '0' OR (([elig_fever] = '0' OR [elig_fever] = '9') AND ([elig_cough] = '0' OR [elig_cough] = '9') AND ([elig_dyspnea] = '0' OR [elig_dyspnea] = '9') AND [elig_ari] ='0') OR [elig_eval_coral]= '0' OR ([elig_eval_coral] = '1' AND [elig_priorenroll] <> '' AND [elig_prisoner]<>'' AND [elig_icu]<>'') OR ([elig_eval_coral] = '2' AND [elig_priorenroll] <> '' AND [elig_prisoner]<>'' AND ([elig_cmo] <> '' OR [admit_cause] = '0'))))) OR [enroll_coralreef]<>''),y,,,,,
admit_icd10_11,optional,Discharge diagnosis ICD-10 codes (electronic query only),text,ICD-10 code #11,,,,,,,(([enroll_coral] = '1' OR [enroll_coralreef]='1')),,,,,,
admit_icd10_12,optional,Discharge diagnosis ICD-10 codes (electronic query only),text,ICD-10 code #12,,,,,,,(([enroll_coral] = '1' OR [enroll_coralreef]='1')),,,,,,
admit_icd10_13,optional,Discharge diagnosis ICD-10 codes (electronic query only),text,ICD-10 code #13,,,,,,,(([enroll_coral] = '1' OR [enroll_coralreef]='1')),,,,,,
admit_icd10_14,optional,Discharge diagnosis ICD-10 codes (electronic query only),text,ICD-10 code #14,,,,,,,(([enroll_coral] = '1' OR [enroll_coralreef]='1')),,,,,,
admit_icd10_15,optional,Discharge diagnosis ICD-10 codes (electronic query only),text,ICD-10 code #15,,,,,,,(([enroll_coral] = '1' OR [enroll_coralreef]='1')),,,,,,
admit_icd10_16,optional,Discharge diagnosis ICD-10 codes (electronic query only),text,ICD-10 code #16,,,,,,,(([enroll_coral] = '1' OR [enroll_coralreef]='1')),,,,,,
admit_icd10_17,optional,Discharge diagnosis ICD-10 codes (electronic query only),text,ICD-10 code #17,,,,,,,(([enroll_coral] = '1' OR [enroll_coralreef]='1')),,,,,,
admit_icd10_18,optional,Discharge diagnosis ICD-10 codes (electronic query only),text,ICD-10 code #18,,,,,,,(([enroll_coral] = '1' OR [enroll_coralreef]='1')),,,,,,
enroll_isaric,inclusion,Study enrollment,text,Enrolled in ISARIC?,"1, Yes | 0, No",,,,,,(([studysite_petal] <> '' AND ([cx_covid_yn] = '0' OR ([cx_covid_yn] = '1' AND ([cx_covid_pos_ever_yn] = '0' OR ([cx_covid_pos_ever_yn] = '1' AND [cx_covid1_pos_yn] <>'')))) AND ([admit_yn] = '0' OR ([admit_yn] = '1' AND [admit_cause] <> '')) AND  [elig_fever] <> '' AND [elig_cough] <> '' AND [elig_dyspnea] <> '' AND ([elig_fever]='1' OR [elig_cough] = '1' OR [elig_dyspnea] = '1' OR  [elig_ari] <> '') AND ([admit_yn] = '0' OR [cx_covid_pos_ever_yn] = '0' OR (([elig_fever] = '0' OR [elig_fever] = '9') AND ([elig_cough] = '0' OR [elig_cough] = '9') AND ([elig_dyspnea] = '0' OR [elig_dyspnea] = '9') AND [elig_ari] ='0') OR [elig_eval_coral]= '0' OR ([elig_eval_coral] = '1' AND [elig_priorenroll] <> '' AND [elig_prisoner]<>'' OR [elig_icu]<>'') OR ([elig_eval_coral] = '2' AND [elig_priorenroll] <> '' AND [elig_prisoner]<>'' AND ([elig_cmo] <> '' OR [admit_cause] = '0')))) OR [enroll_isaric]<>''),y,,,,, @HIDDEN
admit_icd10_19,optional,Discharge diagnosis ICD-10 codes (electronic query only),text,ICD-10 code #19,,,,,,,(([enroll_coral] = '1' OR [enroll_coralreef]='1')),,,,,,
admit_icd10_2,optional,Discharge diagnosis ICD-10 codes (electronic query only),text,ICD-10 code #2,,,,,,,(([enroll_coral] = '1' OR [enroll_coralreef]='1')),,,,,,
admit_icd10_20,optional,Discharge diagnosis ICD-10 codes (electronic query only),text,ICD-10 code #20,,,,,,,(([enroll_coral] = '1' OR [enroll_coralreef]='1')),,,,,,
admit_icd10_21,optional,Discharge diagnosis ICD-10 codes (electronic query only),text,ICD-10 code #21,,,,,,,(([enroll_coral] = '1' OR [enroll_coralreef]='1')),,,,,,
admit_icd10_22,optional,Discharge diagnosis ICD-10 codes (electronic query only),text,ICD-10 code #22,,,,,,,(([enroll_coral] = '1' OR [enroll_coralreef]='1')),,,,,,
admit_icd10_23,optional,Discharge diagnosis ICD-10 codes (electronic query only),text,ICD-10 code #23,,,,,,,(([enroll_coral] = '1' OR [enroll_coralreef]='1')),,,,,,
admit_icd10_24,optional,Discharge diagnosis ICD-10 codes (electronic query only),text,ICD-10 code #24,,,,,,,(([enroll_coral] = '1' OR [enroll_coralreef]='1')),,,,,,
admit_icd10_25,optional,Discharge diagnosis ICD-10 codes (electronic query only),text,ICD-10 code #25,,,,,,,(([enroll_coral] = '1' OR [enroll_coralreef]='1')),,,,,,
admit_icd10_26,optional,Discharge diagnosis ICD-10 codes (electronic query only),text,ICD-10 code #26,,,,,,,(([enroll_coral] = '1' OR [enroll_coralreef]='1')),,,,,,
isaric_country,baselinecontact,Identifiers & zip code,calc,ISARIC country,"if([enroll_coral] =""1"", ""187"", """")",,,,,,,,,,,, @HIDDEN
admit_icd10_27,optional,Discharge diagnosis ICD-10 codes (electronic query only),text,ICD-10 code #27,,,,,,,(([enroll_coral] = '1' OR [enroll_coralreef]='1')),,,,,,
admit_icd10_28,optional,Discharge diagnosis ICD-10 codes (electronic query only),text,ICD-10 code #28,,,,,,,(([enroll_coral] = '1' OR [enroll_coralreef]='1')),,,,,,
sex,baselinedemographics,Patient demographics,radio,Sex,"0, Male | 1, Female",Enter sex at birth,,,,,(([enroll_coral] = '1' OR [enroll_coralreef]='1')),y,,,,,
admit_icd10_29,optional,Discharge diagnosis ICD-10 codes (electronic query only),text,ICD-10 code #29,,,,,,,(([enroll_coral] = '1' OR [enroll_coralreef]='1')),,,,,,
race,baselinedemographics,Patient demographics,radio,Race,"1, American Indian/Alaska Native | 2, Asian | 3, Black/African American | 4, Native Hawaiian/Pacific Islander | 5, White | 9, Multiple | 98, Other/declined | 99, Unknown/unavailable",,,,,,(([enroll_coral] = '1' OR [enroll_coralreef]='1')),y,,,,,
ethnicity,baselinedemographics,Patient demographics,radio,Hispanic ethnicity,"1, Hispanic or Latino|0, Not Hispanic or Latino|9, Unknown",,,,,,(([enroll_coral] = '1' OR [enroll_coralreef]='1')),y,,,,,
admit_icd10_3,optional,Discharge diagnosis ICD-10 codes (electronic query only),text,ICD-10 code #3,,,,,,,(([enroll_coral] = '1' OR [enroll_coralreef]='1')),,,,,,
admit_icd10_30,optional,Discharge diagnosis ICD-10 codes (electronic query only),text,ICD-10 code #30,,,,,,,(([enroll_coral] = '1' OR [enroll_coralreef]='1')),,,,,,
