SELECT_VARIABLES_FIELDS,COMMENT_INSTRUCTION
Tuberculosis,"Active pulmonary or extra-pulmonary TB. Answer ""No"" if latent TB only."
Alcohol abuse ,"Documentation of alcohol use disorder, withdrawal, or abuse"
Drug abuse,"Use of ilicit drugs (do not include marijuana), or prescription medications (e.g. opiates) without prescription"
Psychosis,Includes schizophrenia or other psychosis
Depression,"Diagnosis of depression or on current use of an antidepressant including:
\n\tSSRI: citalopram (Celexa), escitalopram (Lexapro), fluoxetine (Prozac),
fluvoxamine (Luvox), paroxetine (Paxil), sertraline (Zoloft)
\n\tSNRI: desvenlafaxine (Pristiq), duloxetine (Cymbalta), venlafaxine
(Effexor)
\n\tTricyclic antidepressant: amitriptyline (Elavil], desipramine (Norpramin),
doxepine (Sinequan), Imipramine (Tofranil), nortriptyline (Pamelor)"
Anxiety,"Diagnosis of anxiety disorder or chronically prescribed benzodiazepine (lorazepam [Ativan], clonazepam [Xanax], diazepam [Valium]"
Participation in research study involving therapeutic drug.,"Includes trial participation as outpatient or at another hospital prior to transfer to study hospital. Answer ""No"" if patient received only ""usual care"" as part of the trial (no study drug) or never received any study medication."
Was patient's treatment assignment blinded?,"A trial (may or may not be randomized) in which patient and their medical team knew which drug the patient received. Examples include trials that:
\n\tGive all patients a single active drug.
\n\tCompare active drug to ""usual care.""
\n\tStudy arms use same active drug but compare durations or doses.
\n\tCompare ≥2 different active drugs with known assignment.
\nBlinded trial: A trial in which patient and their medical team did not know which drug the patient received or if they received an active study drug at all. Examples include trials that:
\n\tCompare one or more drugs to a placebo (e.g. ORCHID)
\n\tCompare ≥2 different active drugs with unknown assignment."
Medication class members,Specific drugs within larger drug classes are provided within the REDCap instruments and in Appendix 1.
Immunosuppressive medication,"Includes chemotherapy, immunosuppression for auto-immune disease, and immunosuppression after bone marrow or solid organ transplant."
Aspirin,Daily use only
All labs & vital signs,"Values do not need to be obtained from the same time. Enter ""-99"" for missing values (some fields may force 1-2 zeroes after a decimal place)."
Was patient's treatment assignment blinded?,"If GCS is not explicitly recorded in structured documentation or as part of physical exam documented by physician, use description from HPI and physical exam in ED note or admission H&P to assign values.
\n\tGCS 15 = Normal mental status, A&O x3
\n\tGCS 14 = Confused, altered mental status
\n\tGCS 13 = Somnolent, opens eyes to voiceGCS 10 = Obtunded, grimaces to pain
\n\tGCS 3 = Unresponsive, comatose
\n\tIf still unable to determine, enter ""-99"""
Troponin I,"Only enter values for troponin I. If only available value is troponin T (normal or high-sensitivity), enter value as missing."
ICU or ICU step-down/intermediate care unit admission,"If admitted to both IMCU and ICU (e.g. transferred from IMCU to ICU within 24 hours), select ICU. ""ICU"" can include surge, ad hoc, and temporary ICUs."
"Non-invasive ventilation (NIPPV, BiPAP, CPAP) Inotropes/vasopressors
Therapeutic neuromuscular blockade / therapeutic paralysis","Answer ""No"" if on home settings, at night only or if used only for sleep apnea.
Includes norepinephrine (Levophed), epinephrine, vasopressin, phenylephrine (Neosynephrine), angiotensin-II (Giapreza), dopamine, dobutamine, milrinone
Do not include paralytic given for intubation"
"Selection and specification of ""other"" targeted treatment for COVID-19","Do not include medications for chronic illnesses, complications of acute illness (e.g. amiodarone for arrhythmia, heparin for cardiac ischemia or DVT), and hospital supportive care (e.g. nebulizers, sedatives, DVT prophylaxis)."
Sedatives used for patient while on ventilator,"Do not include medications given only for initial intubation. Eligible benzodiazepine medications: midazolam (Versed), lorazepam (Ativan), diazepam (Valium)"
"Urine output, daily net intake/output",Can use either calendar (as for all other daily data elements) or a can use a 24-hour period based on hospital's standard documentation/flowsheet (e.g. 6am on calendar day to 6 am on the next calendar day) to make abstraction easier. Choice should be applied consistently for each hospital.
WHO ordinal outcome scale,Will auto-populate after all necessary treatments have been documented.
Daily EKG & QTc,"If patient had an EKG performed, enter the ""QTc"" value recorded on the EKG form by the computer."
Other fields,See instructions provided for baseline data elements.
Date of last update,Enter date that data is being abstracted. This field should be updated each time the summative/discharge data is updated.
Hospital disposition at discharge,"Aside from death, palliative discharge trumps other disposition statuses. For instance, a patient discharged on home hospice should be recorded as ""palliative discharge"" rather than ""discharge home with services."
Care limitations,"Obtain data from review of discharge, interim, and transfer summaries. "
Pulmonary infection,"Obtain info from discharge, interim, and transfer summaries as well as results of molecular testing for pulmonary pathogens and sputum and other respiratory cultures."
Non-pulmonary infection ,"Obtain information from discharge, interim, and transfer summaries. Do not include initially suspected infections that are ultimately disproven (may be explicitly documented or may be indicated by decision to stop antibiotics before completing a full course (e.g. after just 1-2 days). "
Discharged on new or increased non- invasive positive pressure ventilation (NIPPV/BiPAP/CPAP),"Answer ""No"" if NIPPV or CPAP only used to treat sleep apnea and not ongoing respiratory failure."
New mechanical ventilation,"Answer ""No"" If a patient is (1) chronically vent-dependent and is discharged on their home support or (2) has a trach on around-the-clock trach collar"
Days of therapies  ,Count calendar days where patient got any oxygen.
ICU admit/discharge dates,"Record admission/discharge date for up to 4 ICU admission episodes. If ≥4 ICU admissions, enter the date of the FINAL ICU for the ""ICU discharge FINAL"" field or, if in the ICU at discharge, the date of hospital discharge."
Intubation/extubation dates,"Record intubation and extubation date for up to 4 intubation episodes. If ≥4 intubations, enter the date of the FINAL extubation for the ""extubation #4"" field or, if intubated at discharge, the date of hospital discharge."
Other fields ,See instructions provided for baseline data elements.
Molecular testing,"Molecular tests of interest include:
\n\tInfluenza
\n\tNon-COVID coronaviruses
\n\tStrep urine antigen
\n\tLegionella urine antigen
\n\tRSV \n\tMetapneumovirus
\n\tParainfluenza
\n\tAdenovirus
\n\tRhinovirus
\n\tMycoplasma
\n\tChlamydia pneumoniae
"
"""True positive"" cultures","""True positive"" pulmonary, blood, urine, or other culture per clinical documentation in discharge summary, transfer notes, and/or interim summaries. True positive cultures will usually be matched by an appropriate course of antibiotic treatment.
Culture results that are usually false positives include:
\n\tRespiratory samples that read “oropharyngeal flora” can be ignored
\n\tSamples that grew multiple bacterial types or “multiple colony types” or
“mixed flora” can be ignored if antibiotic sensitivities not done
\n\tCandida (a fungus/yeast) from urine or sputum (but not from other
sources) is assumed to be a contaminant
\n\tCoagulase negative staph” is usually, but not always, a contaminant. If
only one bottle or one set of blood cultures is positive for this, can ignore if clinical notes indicate the team felt this was a contaminant."
