,Variable Name,Variable Description,Subcohort,Dataset,Dataset Description,Data Type,Mapped Instrument,Number Participants,Field Attributes
27,asq10_comm_count,asq10_comm_count from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),continuous,Asq,10,"{'min': np.float64(6.0), 'max': np.float64(6.0), 'mean': np.float64(6.0)}"
28,asq10_comm_score,asq10_comm_score from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),continuous,Asq,10,"{'min': np.float64(30.0), 'max': np.float64(60.0), 'mean': np.float64(50.5)}"
29,asq10_comm_sum,asq10_comm_sum from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),continuous,Asq,10,"{'min': np.float64(30.0), 'max': np.float64(60.0), 'mean': np.float64(50.5)}"
30,asq10_fm1,asq10_fm1 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,10,{'Yes': 10}
31,asq10_fm2,asq10_fm2 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,10,{'Yes': 10}
32,asq10_fm3,asq10_fm3 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,10,{'Yes': 10}
33,asq10_fm4,asq10_fm4 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,10,{'Yes': 10}
34,asq10_fm5,asq10_fm5 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,10,"{'Sometimes': 1, 'Yes': 9}"
35,asq10_fm6,asq10_fm6 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,10,{'Yes': 10}
36,asq10_fm_concern,asq10_fm_concern from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),continuous,Asq,10,"{'min': np.float64(0.0), 'max': np.float64(0.0), 'mean': np.float64(0.0)}"
37,asq10_fm_count,asq10_fm_count from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),continuous,Asq,10,"{'min': np.float64(6.0), 'max': np.float64(6.0), 'mean': np.float64(6.0)}"
38,asq10_fm_score,asq10_fm_score from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),continuous,Asq,10,"{'min': np.float64(55.0), 'max': np.float64(60.0), 'mean': np.float64(59.5)}"
39,asq10_fm_sum,asq10_fm_sum from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),continuous,Asq,10,"{'min': np.float64(55.0), 'max': np.float64(60.0), 'mean': np.float64(59.5)}"
40,asq10_gm1,asq10_gm1 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,10,"{'Sometimes': 1, 'Yes': 9}"
41,asq10_gm2,asq10_gm2 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,10,{'Yes': 10}
42,asq10_gm3,asq10_gm3 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,10,"{'Sometimes': 2, 'Yes': 8}"
43,asq10_gm4,asq10_gm4 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,10,"{'Not yet': 2, 'Sometimes': 1, 'Yes': 7}"
44,asq10_gm5,asq10_gm5 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,10,"{'Not yet': 2, 'Sometimes': 1, 'Yes': 7}"
45,asq10_gm6,asq10_gm6 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,10,"{'Not yet': 4, 'Yes': 6}"
46,asq10_gm_concern,asq10_gm_concern from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),continuous,Asq,10,"{'min': np.float64(0.0), 'max': np.float64(1.0), 'mean': np.float64(0.2)}"
47,asq10_gm_count,asq10_gm_count from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),continuous,Asq,10,"{'min': np.float64(6.0), 'max': np.float64(6.0), 'mean': np.float64(6.0)}"
48,asq10_gm_score,asq10_gm_score from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),continuous,Asq,10,"{'min': np.float64(20.0), 'max': np.float64(60.0), 'mean': np.float64(49.5)}"
49,asq10_gm_sum,asq10_gm_sum from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),continuous,Asq,10,"{'min': np.float64(20.0), 'max': np.float64(60.0), 'mean': np.float64(49.5)}"
50,asq10_o1,asq10_o1 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,10,{'Yes': 10}
51,asq10_o2,asq10_o2 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,9,{'Yes': 9}
52,asq10_o3,asq10_o3 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,10,{'No': 10}
53,asq10_o4,asq10_o4 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,10,{'No': 10}
54,asq10_o5,asq10_o5 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,10,"{'No': 8, 'Yes': 2}"
55,asq10_o6,asq10_o6 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,10,"{'No': 8, 'Yes': 2}"
56,asq10_o7,asq10_o7 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,10,{'No': 10}
57,asq10_o8,asq10_o8 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,10,"{'No': 9, 'Yes': 1}"
58,asq10_persoc1,asq10_persoc1 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,10,"{'Sometimes': 3, 'Yes': 7}"
59,asq10_persoc2,asq10_persoc2 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,10,"{'Sometimes': 1, 'Yes': 9}"
60,asq10_persoc3,asq10_persoc3 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,10,{'Yes': 10}
61,asq10_persoc4,asq10_persoc4 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,10,"{'Not yet': 2, 'Sometimes': 2, 'Yes': 6}"
62,asq10_persoc5,asq10_persoc5 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,10,"{'Not yet': 3, 'Sometimes': 2, 'Yes': 5}"
63,asq10_persoc6,asq10_persoc6 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,10,"{'Not yet': 1, 'Sometimes': 7, 'Yes': 2}"
64,asq10_persoc_concern,asq10_persoc_concern from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),continuous,Asq,10,"{'min': np.float64(0.0), 'max': np.float64(1.0), 'mean': np.float64(0.1)}"
65,asq10_persoc_count,asq10_persoc_count from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),continuous,Asq,10,"{'min': np.float64(6.0), 'max': np.float64(6.0), 'mean': np.float64(6.0)}"
66,asq10_persoc_score,asq10_persoc_score from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),continuous,Asq,10,"{'min': np.float64(25.0), 'max': np.float64(60.0), 'mean': np.float64(46.5)}"
67,asq10_persoc_sum,asq10_persoc_sum from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),continuous,Asq,10,"{'min': np.float64(25.0), 'max': np.float64(60.0), 'mean': np.float64(46.5)}"
68,asq10_ps1,asq10_ps1 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,10,"{'Sometimes': 1, 'Yes': 9}"
69,asq10_ps2,asq10_ps2 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,10,"{'Sometimes': 3, 'Yes': 7}"
70,asq10_ps3,asq10_ps3 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,10,"{'Sometimes': 1, 'Yes': 9}"
71,asq10_ps4,asq10_ps4 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,10,"{'Sometimes': 2, 'Yes': 8}"
72,asq10_ps5,asq10_ps5 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,10,"{'Not yet': 1, 'Sometimes': 1, 'Yes': 8}"
73,asq10_ps6,asq10_ps6 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,10,"{'Sometimes': 3, 'Yes': 7}"
74,asq10_ps_concern,asq10_ps_concern from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),continuous,Asq,10,"{'min': np.float64(0.0), 'max': np.float64(0.0), 'mean': np.float64(0.0)}"
75,asq10_ps_count,asq10_ps_count from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),continuous,Asq,10,"{'min': np.float64(6.0), 'max': np.float64(6.0), 'mean': np.float64(6.0)}"
76,asq10_ps_score,asq10_ps_score from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),continuous,Asq,10,"{'min': np.float64(45.0), 'max': np.float64(60.0), 'mean': np.float64(53.5)}"
77,asq10_ps_sum,asq10_ps_sum from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),continuous,Asq,10,"{'min': np.float64(45.0), 'max': np.float64(60.0), 'mean': np.float64(53.5)}"
78,asq12_all_concern,asq12_all_concern from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,2,{'No': 2}
79,asq12_all_concern,asq12_all_concern from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,12,"{'No': 10, 'Yes': 2}"
80,asq12_comm1,asq12_comm1 from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,2,{'Yes': 2}
81,asq12_comm1,asq12_comm1 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,11,{'Yes': 11}
82,asq12_comm2,asq12_comm2 from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,2,{'Yes': 2}
83,asq12_comm2,asq12_comm2 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,11,{'Yes': 11}
84,asq12_comm3,asq12_comm3 from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,2,{'Yes': 2}
85,asq12_comm3,asq12_comm3 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,11,"{'Not yet': 1, 'Sometimes': 2, 'Yes': 8}"
86,asq12_comm4,asq12_comm4 from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,2,"{'Not yet': 1, 'Yes': 1}"
87,asq12_comm4,asq12_comm4 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,11,{'Yes': 11}
88,asq12_comm5,asq12_comm5 from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,2,{'Yes': 2}
89,asq12_comm5,asq12_comm5 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,11,"{'Not yet': 1, 'Sometimes': 1, 'Yes': 9}"
90,asq12_comm6,asq12_comm6 from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,2,"{'Sometimes': 1, 'Yes': 1}"
91,asq12_comm6,asq12_comm6 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,11,"{'Not yet': 3, 'Sometimes': 2, 'Yes': 6}"
92,asq12_comm_concern,asq12_comm_concern from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,2,"{'0.00000': 2, 'null': 0}"
93,asq12_comm_concern,asq12_comm_concern from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),continuous,Asq,11,"{'min': np.float64(0.0), 'max': np.float64(0.0), 'mean': np.float64(0.0)}"
94,asq12_comm_count,asq12_comm_count from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,2,"{'6.00000': 2, 'null': 0}"
95,asq12_comm_count,asq12_comm_count from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),continuous,Asq,12,"{'min': np.float64(0.0), 'max': np.float64(6.0), 'mean': np.float64(5.5)}"
96,asq12_comm_score,asq12_comm_score from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,2,"{'45.00000': 1, '60.00000': 1, 'null': 0}"
97,asq12_comm_score,asq12_comm_score from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),continuous,Asq,11,"{'min': np.float64(30.0), 'max': np.float64(60.0), 'mean': np.float64(53.18)}"
98,asq12_comm_sum,asq12_comm_sum from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,2,"{'45.00000': 1, '60.00000': 1, 'null': 0}"
99,asq12_comm_sum,asq12_comm_sum from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),continuous,Asq,11,"{'min': np.float64(30.0), 'max': np.float64(60.0), 'mean': np.float64(53.18)}"
100,asq12_fm1,asq12_fm1 from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,2,{'Yes': 2}
101,asq12_fm1,asq12_fm1 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,11,{'Yes': 11}
102,asq12_fm2,asq12_fm2 from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,2,{'Yes': 2}
103,asq12_fm2,asq12_fm2 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,11,{'Yes': 11}
104,asq12_fm3,asq12_fm3 from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,2,{'Yes': 2}
105,asq12_fm3,asq12_fm3 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,11,"{'Sometimes': 3, 'Yes': 8}"
106,asq12_fm4,asq12_fm4 from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,2,{'Yes': 2}
107,asq12_fm4,asq12_fm4 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,11,"{'Sometimes': 1, 'Yes': 10}"
108,asq12_fm5,asq12_fm5 from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,2,"{'Not yet': 1, 'Yes': 1}"
109,asq12_fm5,asq12_fm5 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,11,"{'Not yet': 4, 'Sometimes': 1, 'Yes': 6}"
110,asq12_fm6,asq12_fm6 from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,2,{'Yes': 2}
111,asq12_fm6,asq12_fm6 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,11,"{'Not yet': 1, 'Sometimes': 3, 'Yes': 7}"
112,asq12_fm_concern,asq12_fm_concern from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,2,"{'0.00000': 2, 'null': 0}"
113,asq12_fm_concern,asq12_fm_concern from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),continuous,Asq,11,"{'min': np.float64(0.0), 'max': np.float64(0.0), 'mean': np.float64(0.0)}"
114,asq12_fm_count,asq12_fm_count from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,2,"{'6.00000': 2, 'null': 0}"
115,asq12_fm_count,asq12_fm_count from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),continuous,Asq,12,"{'min': np.float64(0.0), 'max': np.float64(6.0), 'mean': np.float64(5.5)}"
116,asq12_fm_score,asq12_fm_score from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,2,"{'50.00000': 1, '60.00000': 1, 'null': 0}"
117,asq12_fm_score,asq12_fm_score from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),continuous,Asq,11,"{'min': np.float64(40.0), 'max': np.float64(60.0), 'mean': np.float64(51.82)}"
118,asq12_fm_sum,asq12_fm_sum from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,2,"{'50.00000': 1, '60.00000': 1, 'null': 0}"
119,asq12_fm_sum,asq12_fm_sum from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),continuous,Asq,11,"{'min': np.float64(40.0), 'max': np.float64(60.0), 'mean': np.float64(51.82)}"
120,asq12_gm1,asq12_gm1 from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,2,{'Yes': 2}
121,asq12_gm1,asq12_gm1 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,11,"{'Not yet': 1, 'Yes': 10}"
122,asq12_gm2,asq12_gm2 from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,2,{'Yes': 2}
123,asq12_gm2,asq12_gm2 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,11,"{'Not yet': 1, 'Sometimes': 1, 'Yes': 9}"
