,Variable Name,Variable Description,Subcohort,Dataset,Dataset Description,Data Type,Mapped Instrument,Number Participants,Field Attributes
16,bisq_naptimeh,bisq_naptimeh from form bisqr and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,bisqr,bisqr (enrollment),continuous,Bisqr,126,"{'min': np.float64(0.0), 'max': np.float64(12.0), 'mean': np.float64(1.89)}"
17,dasii_pstscore,dasii_pstscore from form dasii and visit 36month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,dasii,dasii (36month),continuous,Dasii,34,"{'min': np.float64(25.0), 'max': np.float64(72.0), 'mean': np.float64(49.53)}"
18,dp4_cogstd,dp4_cogstd from form dp4 and visit 36month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,dp4,dp4 (36month),continuous,Dp4,63,"{'min': np.float64(40.0), 'max': np.float64(154.0), 'mean': np.float64(102.16)}"
19,dp4_cogstd,dp4_cogstd from form dp4 and visit 48month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,dp4,dp4 (48month),categorical,Dp4,6,"{'103.00000': 3, '120.00000': 1, '94.00000': 2}"
20,dp4_commpct,dp4_commpct from form dp4 and visit 36month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,dp4,dp4 (36month),continuous,Dp4,63,"{'min': np.float64(1.0), 'max': np.float64(99.0), 'mean': np.float64(73.05)}"
21,dp4_commpct,dp4_commpct from form dp4 and visit 48month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,dp4,dp4 (48month),categorical,Dp4,6,"{'66.00000': 1, '81.00000': 1, '91.00000': 1, '97.00000': 2, '99.00000': 1}"
22,asq36_o3,asq36_o3 from form asq and visit 36month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (36month),categorical,ASQ,144,"{'No': 12, 'Yes': 132}"
23,asqse_sum,asqse_sum from form asqse and visit 18month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (18month),continuous,Asqse,570,"{'min': np.float64(0.0), 'max': np.float64(145.0), 'mean': np.float64(26.67)}"
24,asqse_sum,asqse_sum from form asqse and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (enrollment),continuous,Asqse,198,"{'min': np.float64(0.0), 'max': np.float64(150.0), 'mean': np.float64(30.63)}"
25,bayley_fmscale,bayley_fmscale from form bayley4 and visit 24month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,bayley4,bayley4 (24month),continuous,Bayley4,103,"{'min': np.float64(1.0), 'max': np.float64(15.0), 'mean': np.float64(10.53)}"
26,bisq_naptimem,bisq_naptimem from form bisqr and visit 24month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,bisqr,bisqr (24month),continuous,Bisqr,155,"{'min': np.float64(0.0), 'max': np.float64(45.0), 'mean': np.float64(13.68)}"
27,bisq_naptimem,bisq_naptimem from form bisqr and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,bisqr,bisqr (enrollment),continuous,Bisqr,82,"{'min': np.float64(0.0), 'max': np.float64(45.0), 'mean': np.float64(17.38)}"
28,bisq_sleepstretchm,bisq_sleepstretchm from form bisqr and visit 24month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,bisqr,bisqr (24month),continuous,Bisqr,118,"{'min': np.float64(0.0), 'max': np.float64(50.0), 'mean': np.float64(5.81)}"
29,ca_rr,ca_rr from form anthropometry and visit 48month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,anthropometry,anthropometry (48month),categorical,Anthropometry,5,"{'20.00000': 2, '21.00000': 1, '22.00000': 1, '24.00000': 1, 'null': 0}"
30,ca_rr,ca_rr from form anthropometry and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,anthropometry,anthropometry (enrollment),continuous,Anthropometry,122,"{'min': np.float64(18.0), 'max': np.float64(54.0), 'mean': np.float64(27.08)}"
31,ca_sbp,ca_sbp from form anthropometry and visit 24month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,anthropometry,anthropometry (24month),continuous,Anthropometry,52,"{'min': np.float64(84.0), 'max': np.float64(148.0), 'mean': np.float64(103.0)}"
32,asq12_comm_count,asq12_comm_count from form asq and visit 12month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (12month),categorical,ASQ,2,{'6.00000': 2}
33,ca_sbp,ca_sbp from form anthropometry and visit 36month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,anthropometry,anthropometry (36month),categorical,Anthropometry,7,"{'96.00000': 2, '100.00000': 1, '104.00000': 1, '93.00000': 1, '94.00000': 1, '98.00000': 1}"
34,ca_sbp,ca_sbp from form anthropometry and visit 48month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,anthropometry,anthropometry (48month),categorical,Anthropometry,5,"{'100.00000': 1, '102.00000': 1, '103.00000': 1, '107.00000': 1, '98.00000': 1, 'null': 0}"
35,ca_tsf,ca_tsf from form anthropometry and visit 36month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,anthropometry,anthropometry (36month),categorical,Anthropometry,9,"{'12.00000': 2, '0.80000': 1, '10.00000': 1, '100.00000': 1, '10.20000': 1, '1.10000': 1}"
36,asq10_o8,asq10_o8 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,36,"{'No': 32, 'Yes': 4}"
37,asq12_gm3,asq12_gm3 from form asq and visit 12month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (12month),categorical,ASQ,2,{'Yes': 2}
38,asq12_comm_count,asq12_comm_count from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),continuous,ASQ,732,"{'min': np.float64(0.0), 'max': np.float64(6.0), 'mean': np.float64(5.96)}"
39,asq10_o3,asq10_o3 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,36,"{'No': 35, 'Yes': 1}"
40,asq10_fm3,asq10_fm3 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,36,"{'Sometimes': 2, 'Yes': 34}"
41,asq10_comm1,asq10_comm1 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,35,"{'Not yet': 1, 'Yes': 34}"
42,asq10_comm2,asq10_comm2 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,35,"{'Not yet': 1, 'Sometimes': 13, 'Yes': 21}"
43,asq10_comm3,asq10_comm3 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,36,"{'Not yet': 2, 'Sometimes': 3, 'Yes': 31}"
44,asq10_comm4,asq10_comm4 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,36,"{'Not yet': 3, 'Sometimes': 4, 'Yes': 29}"
45,asq10_comm5,asq10_comm5 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,36,"{'Not yet': 11, 'Sometimes': 8, 'Yes': 17}"
46,asq10_comm6,asq10_comm6 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,36,"{'Not yet': 11, 'Sometimes': 6, 'Yes': 19}"
47,asq10_comm_concern,asq10_comm_concern from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,36,"{'No': 34, 'Yes': 2}"
48,asq10_comm_count,asq10_comm_count from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),continuous,ASQ,37,"{'min': np.float64(0.0), 'max': np.float64(6.0), 'mean': np.float64(5.78)}"
49,asq10_comm_score,asq10_comm_score from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),continuous,ASQ,36,"{'min': np.float64(10.0), 'max': np.float64(60.0), 'mean': np.float64(47.19)}"
50,asq10_comm_sum,asq10_comm_sum from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),continuous,ASQ,36,"{'min': np.float64(10.0), 'max': np.float64(60.0), 'mean': np.float64(46.67)}"
51,asq10_fm1,asq10_fm1 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,36,{'Yes': 36}
52,asq10_fm2,asq10_fm2 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,36,"{'Sometimes': 1, 'Yes': 35}"
53,asq10_fm4,asq10_fm4 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,36,"{'Not yet': 1, 'Sometimes': 3, 'Yes': 32}"
54,asq10_fm5,asq10_fm5 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,36,"{'Sometimes': 7, 'Yes': 29}"
55,asq10_fm6,asq10_fm6 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,36,"{'Sometimes': 8, 'Yes': 28}"
56,asq10_fm_concern,asq10_fm_concern from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,36,{'No': 36}
57,asq10_fm_count,asq10_fm_count from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),continuous,ASQ,37,"{'min': np.float64(0.0), 'max': np.float64(6.0), 'mean': np.float64(5.84)}"
58,asq10_fm_score,asq10_fm_score from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),continuous,ASQ,36,"{'min': np.float64(40.0), 'max': np.float64(60.0), 'mean': np.float64(56.81)}"
59,asq10_fm_sum,asq10_fm_sum from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),continuous,ASQ,36,"{'min': np.float64(40.0), 'max': np.float64(60.0), 'mean': np.float64(56.81)}"
60,asq10_gm1,asq10_gm1 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,35,"{'Not yet': 1, 'Sometimes': 2, 'Yes': 32}"
61,asq10_gm2,asq10_gm2 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,36,"{'Sometimes': 1, 'Yes': 35}"
62,asq10_gm3,asq10_gm3 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,36,"{'Not yet': 3, 'Sometimes': 3, 'Yes': 30}"
63,asq10_gm4,asq10_gm4 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,36,"{'Not yet': 6, 'Sometimes': 4, 'Yes': 26}"
64,asq10_gm5,asq10_gm5 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,36,"{'Not yet': 7, 'Sometimes': 3, 'Yes': 26}"
65,asq10_gm6,asq10_gm6 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,35,"{'Not yet': 13, 'Sometimes': 3, 'Yes': 19}"
66,asq10_gm_concern,asq10_gm_concern from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,36,"{'No': 30, 'Yes': 6}"
67,asq10_gm_count,asq10_gm_count from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),continuous,ASQ,37,"{'min': np.float64(0.0), 'max': np.float64(6.0), 'mean': np.float64(5.78)}"
68,asq10_gm_score,asq10_gm_score from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),continuous,ASQ,36,"{'min': np.float64(10.0), 'max': np.float64(60.0), 'mean': np.float64(49.44)}"
69,asq10_gm_sum,asq10_gm_sum from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),continuous,ASQ,36,"{'min': np.float64(10.0), 'max': np.float64(60.0), 'mean': np.float64(48.89)}"
70,asq10_o1,asq10_o1 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,35,{'Yes': 35}
71,asq10_o2,asq10_o2 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,36,{'Yes': 36}
72,asq10_o4,asq10_o4 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,36,"{'No': 35, 'Yes': 1}"
73,asq10_o5,asq10_o5 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,36,"{'No': 34, 'Yes': 2}"
74,asq10_o6,asq10_o6 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,36,"{'No': 26, 'Yes': 10}"
75,asq10_o7,asq10_o7 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,36,"{'No': 34, 'Yes': 2}"
76,asq10_persoc1,asq10_persoc1 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,36,"{'Sometimes': 11, 'Yes': 25}"
77,asq10_persoc2,asq10_persoc2 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,36,"{'Not yet': 3, 'Sometimes': 3, 'Yes': 30}"
78,asq10_persoc3,asq10_persoc3 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,36,"{'Sometimes': 2, 'Yes': 34}"
79,asq10_persoc4,asq10_persoc4 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,36,"{'Not yet': 1, 'Sometimes': 7, 'Yes': 28}"
80,asq10_persoc5,asq10_persoc5 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,36,"{'Not yet': 3, 'Sometimes': 9, 'Yes': 24}"
81,asq10_persoc6,asq10_persoc6 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,36,"{'Not yet': 6, 'Sometimes': 19, 'Yes': 11}"
82,asq10_persoc_concern,asq10_persoc_concern from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,36,{'No': 36}
83,asq10_persoc_count,asq10_persoc_count from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),continuous,ASQ,37,"{'min': np.float64(0.0), 'max': np.float64(6.0), 'mean': np.float64(5.84)}"
84,asq10_persoc_score,asq10_persoc_score from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),continuous,ASQ,36,"{'min': np.float64(30.0), 'max': np.float64(60.0), 'mean': np.float64(49.31)}"
85,asq10_persoc_sum,asq10_persoc_sum from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),continuous,ASQ,36,"{'min': np.float64(30.0), 'max': np.float64(60.0), 'mean': np.float64(49.31)}"
86,asq10_ps1,asq10_ps1 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,36,"{'Sometimes': 7, 'Yes': 29}"
87,asq10_ps2,asq10_ps2 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,36,"{'Not yet': 1, 'Sometimes': 3, 'Yes': 32}"
88,asq10_ps3,asq10_ps3 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,36,"{'Not yet': 1, 'Sometimes': 2, 'Yes': 33}"
89,asq10_ps4,asq10_ps4 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,36,"{'Not yet': 5, 'Sometimes': 7, 'Yes': 24}"
90,asq10_ps5,asq10_ps5 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,36,"{'Not yet': 4, 'Sometimes': 6, 'Yes': 26}"
91,asq10_ps6,asq10_ps6 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,36,"{'Not yet': 1, 'Sometimes': 5, 'Yes': 30}"
92,asq10_ps_concern,asq10_ps_concern from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,36,"{'No': 35, 'Yes': 1}"
93,asq10_ps_count,asq10_ps_count from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),continuous,ASQ,37,"{'min': np.float64(0.0), 'max': np.float64(6.0), 'mean': np.float64(5.84)}"
94,asq10_ps_score,asq10_ps_score from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),continuous,ASQ,36,"{'min': np.float64(20.0), 'max': np.float64(60.0), 'mean': np.float64(52.5)}"
95,asq10_ps_sum,asq10_ps_sum from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),continuous,ASQ,36,"{'min': np.float64(20.0), 'max': np.float64(60.0), 'mean': np.float64(52.5)}"
96,asq12_comm1,asq12_comm1 from form asq and visit 12month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (12month),categorical,ASQ,2,{'Yes': 2}
97,asq12_comm1,asq12_comm1 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,731,"{'Not yet': 8, 'Sometimes': 14, 'Yes': 709}"
98,asq12_comm2,asq12_comm2 from form asq and visit 12month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (12month),categorical,ASQ,2,{'Yes': 2}
99,asq12_comm2,asq12_comm2 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,729,"{'Not yet': 54, 'Sometimes': 66, 'Yes': 609}"
100,asq12_comm3,asq12_comm3 from form asq and visit 12month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (12month),categorical,ASQ,2,"{'Not yet': 1, 'Yes': 1}"
101,asq12_comm3,asq12_comm3 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,727,"{'Not yet': 109, 'Sometimes': 169, 'Yes': 449}"
102,asq12_comm4,asq12_comm4 from form asq and visit 12month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (12month),categorical,ASQ,2,"{'Sometimes': 1, 'Yes': 1}"
103,asq12_comm4,asq12_comm4 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,726,"{'Not yet': 179, 'Sometimes': 97, 'Yes': 450}"
104,asq12_comm5,asq12_comm5 from form asq and visit 12month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (12month),categorical,ASQ,2,"{'Sometimes': 1, 'Yes': 1}"
105,asq12_comm5,asq12_comm5 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,727,"{'Not yet': 122, 'Sometimes': 189, 'Yes': 416}"
106,asq12_comm6,asq12_comm6 from form asq and visit 12month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (12month),categorical,ASQ,2,"{'Not yet': 1, 'Yes': 1}"
107,asq12_comm6,asq12_comm6 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,728,"{'Not yet': 236, 'Sometimes': 189, 'Yes': 303}"
108,asq12_comm_concern,asq12_comm_concern from form asq and visit 12month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (12month),categorical,ASQ,2,{'No': 2}
109,asq12_comm_concern,asq12_comm_concern from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,729,"{'No': 707, 'Yes': 22}"
110,asq12_comm_score,asq12_comm_score from form asq and visit 12month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (12month),categorical,ASQ,2,"{'30.00000': 1, '60.00000': 1}"
111,asq12_comm_score,asq12_comm_score from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),continuous,ASQ,729,"{'min': np.float64(0.0), 'max': np.float64(60.0), 'mean': np.float64(45.29)}"
112,asq12_comm_sum,asq12_comm_sum from form asq and visit 12month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (12month),categorical,ASQ,2,"{'30.00000': 1, '60.00000': 1}"
113,asq12_comm_sum,asq12_comm_sum from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),continuous,ASQ,731,"{'min': np.float64(0.0), 'max': np.float64(60.0), 'mean': np.float64(45.05)}"
114,asq12_fm1,asq12_fm1 from form asq and visit 12month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (12month),categorical,ASQ,2,{'Yes': 2}
115,asq12_fm1,asq12_fm1 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,729,"{'Not yet': 14, 'Sometimes': 57, 'Yes': 658}"
116,asq12_fm2,asq12_fm2 from form asq and visit 12month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (12month),categorical,ASQ,2,{'Yes': 2}
117,asq12_fm2,asq12_fm2 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,731,"{'Not yet': 8, 'Sometimes': 34, 'Yes': 689}"
