variable_id,variable_label_from_data_file,label,derived_var_label,desc,form,form_id
charl_cerebvasc,,Cerebrovascular disease,,,Demographics and Enrollment,demographics_and_enrollment
charl_congheart,,Congestive heart failure,,,Demographics and Enrollment,demographics_and_enrollment
charl_contis,,Connective tissue disease,,,Demographics and Enrollment,demographics_and_enrollment
charl_copd,,COPD,,,Demographics and Enrollment,demographics_and_enrollment
charl_dementia,,Dementia,,,Demographics and Enrollment,demographics_and_enrollment
charl_diabetes,,Diabetes mellitus (DM),,,Demographics and Enrollment,demographics_and_enrollment
charl_fatal,,Rapidly fatal disease,,,Demographics and Enrollment,demographics_and_enrollment
charl_hemiplegia,,Hemiplegia,,,Demographics and Enrollment,demographics_and_enrollment
charl_hypertension,,History of hypertension,,,Demographics and Enrollment,demographics_and_enrollment
charl_kidney,,Moderate to severe kidney disease,,,Demographics and Enrollment,demographics_and_enrollment
charl_leuk,,"Leukemia (AML, CML, ALL, multiple myeloma)",,,Demographics and Enrollment,demographics_and_enrollment
charl_liver,,Liver disease,,,Demographics and Enrollment,demographics_and_enrollment
charl_lymph,,Malignant lymphoma,,,Demographics and Enrollment,demographics_and_enrollment
charl_myoinfarc,,A prior myocardial infarction,,,Demographics and Enrollment,demographics_and_enrollment
charl_perivasc,,Peripheral vascular disease,,,Demographics and Enrollment,demographics_and_enrollment
charl_tumor,,Solid tumor,,,Demographics and Enrollment,demographics_and_enrollment
charl_ulcer,,Peptic ulcer disease,,,Demographics and Enrollment,demographics_and_enrollment
chart_oxygen,,"Chronic receipt of supplemental oxygen prior to current illness Supplemental oxygen is defined as oxygen administered by nasal cannula, face mask, high-flow nasal cannula, non-invasive ventilation, or invasive ventilation.  Positive airway pressure (CPAP o",,,Demographics and Enrollment,demographics_and_enrollment
cons_certify,,"Before randomization, the enrolling investigator must certify that that all of the following are true:  Patient met all inclusion criteria Patient met no exclusion criteria Study Informed Consent Document/Form (ICD/ICF) were explained and reviewed with the",,,Eligibility Criteria,eligibility_criteria
covid_ooscale_1,,COVID Ordinal Outcomes Scale at randomization,,,Demographics and Enrollment,demographics_and_enrollment
covid_ooscale_15,,COVID Ordinal Outcomes Scale on Day 15Select the lowest value that occurred on this study day,,,Day 15 Phone Call,day_15_phone_call
covid_ooscale_2,,COVID Ordinal Outcomes Scale on Day 2Select the lowest value that occurred on this study day,,,Day 2 Assessment,day_2_assessment
covid_ooscale_29,,COVID Ordinal Outcomes Scale on Day 29Select the lowest value that occurred on this study day,,,Day 29 Phone Call,day_29_phone_call
covid_ooscale_3,,COVID Ordinal Outcomes Scale on Day 3Select the lowest value that occurred on this study day,,,Day 3 Assessment,day_3_assessment
covid_ooscale_4,,COVID Ordinal Outcomes Scale on Day 4Select the lowest value that occurred on this study day,,,Day 4 Assessment,day_4_assessment
covid_ooscale_5,,COVID Ordinal Outcomes Scale on Day 5Select the lowest value that occurred on this study day,,,Day 5 Assessment,day_5_assessment
covid_ooscale_8,,COVID Ordinal Outcomes Scale on Day 8Select the lowest value that occurred on this study day,,,Day 8 Phone Call,day_8_phone_call
d_bl_age_s,Standardized age at baseline,,Standardized age at baseline,,Form Unknown,form_unknown
d_bl_icu,Baseline ICU,,Baseline ICU,,Form Unknown,form_unknown
d_bmi,BMI,,BMI,,Form Unknown,form_unknown
d_bstatus_No02,Not on oxygen baseline,,Not on oxygen baseline,,Form Unknown,form_unknown
d_bstatus_sp02,On supplemental oxygen at baseline,,On supplemental oxygen at baseline,,Form Unknown,form_unknown
d_covid15,COVID Ordinal Outcomes Scale on Day 15 (derived),,COVID Ordinal Outcomes Scale on Day 15 (derived),,Form Unknown,form_unknown
d_covid2,COVID Ordinal Outcomes Scale on Day 2 (derived),,COVID Ordinal Outcomes Scale on Day 2 (derived),,Form Unknown,form_unknown
d_covid29,COVID Ordinal Outcomes Scale on Day 29 (derived),,COVID Ordinal Outcomes Scale on Day 29 (derived),,Form Unknown,form_unknown
d_covid3,COVID Ordinal Outcomes Scale on Day 3 (derived),,COVID Ordinal Outcomes Scale on Day 3 (derived),,Form Unknown,form_unknown
d_covid4,COVID Ordinal Outcomes Scale on Day 4 (derived),,COVID Ordinal Outcomes Scale on Day 4 (derived),,Form Unknown,form_unknown
d_covid5,COVID Ordinal Outcomes Scale on Day 5 (derived),,COVID Ordinal Outcomes Scale on Day 5 (derived),,Form Unknown,form_unknown
d_covid8,COVID Ordinal Outcomes Scale on Day 8 (derived),,COVID Ordinal Outcomes Scale on Day 8 (derived),,Form Unknown,form_unknown
d_deathday,Death day,,Death day,,Form Unknown,form_unknown
d_doses,Number of Doses Administered,,Number of Doses Administered,,Form Unknown,form_unknown
d_ecmo_death,Ecmo or Death,,Ecmo or Death,,Form Unknown,form_unknown
d_fu_days,Follow-Up Days,,Follow-Up Days,,Form Unknown,form_unknown
d_hospfreedays,Hospital Free Days,,Hospital Free Days,,Form Unknown,form_unknown
d_icufreedays,ICU Free Days,,ICU Free Days,,Form Unknown,form_unknown
d_lastalivedt,Last alive day,,Last alive day,,Form Unknown,form_unknown
d_male_sex,Sex: Male,,Sex: Male,,Form Unknown,form_unknown
d_mort15,Day 15 mortality,,Day 15 mortality,,Form Unknown,form_unknown
d_mort29,Day 29 mortality,,Day 29 mortality,,Form Unknown,form_unknown
d_onset_duration,Duration of sypmtoms prior to randomization (days),,Duration of sypmtoms prior to randomization (days),,Form Unknown,form_unknown
d_oxyfreedays,Oxygen free days,,Oxygen free days,,Form Unknown,form_unknown
d_pfratio,P/F ratio,,P/F ratio,,Form Unknown,form_unknown
d_race,Race,,Race,,Form Unknown,form_unknown
d_remd_ever,Remdesivir (ever/never),,Remdesivir (ever/never),,Form Unknown,form_unknown
d_sfratio,S/F ratio,,S/F ratio,,Form Unknown,form_unknown
d_sofa_cardio,SOFA Cardiovascular,,SOFA Cardiovascular,,Form Unknown,form_unknown
d_sofa_coag,SOFA Coagulation,,SOFA Coagulation,,Form Unknown,form_unknown
d_sofa_gcs,Total SOFA (with GCS),,Total SOFA (with GCS),,Form Unknown,form_unknown
d_sofa_gcs_s,Standardized Total SOFA with GCS at baseline,,Standardized Total SOFA with GCS at baseline,,Form Unknown,form_unknown
d_sofa_liver,SOFA Liver,,SOFA Liver,,Form Unknown,form_unknown
d_sofa_nervous,SOFA Nervous System,,SOFA Nervous System,,Form Unknown,form_unknown
d_sofa_nogcs,Total SOFA (without GCS),,Total SOFA (without GCS),,Form Unknown,form_unknown
d_sofa_renal,SOFA Renal,,SOFA Renal,,Form Unknown,form_unknown
d_sofa_resp,SOFA Respiratory,,SOFA Respiratory,,Form Unknown,form_unknown
d_time_to_recovery,Time to recovery,,Time to recovery,,Form Unknown,form_unknown
d_vasofreedays,Vasopressor Free Days,,Vasopressor Free Days,,Form Unknown,form_unknown
d_ventfreedays,Ventilator Free Days,,Ventilator Free Days,,Form Unknown,form_unknown
dose_dt_1,,Day dose 1 administered,,,Dose 1,dose_1
dose_dt_10,,Day dose 10 administered,,,Dose 10,dose_10
dose_dt_2,,Day dose 2 administered,,,Dose 2,dose_2
dose_dt_3,,Day dose 3 administered,,,Dose 3,dose_3
dose_dt_4,,Day dose 4 administered,,,Dose 4,dose_4
dose_dt_5,,Day dose 5 administered,,,Dose 5,dose_5
dose_dt_6,,Day dose 6 administered,,,Dose 6,dose_6
dose_dt_7,,Day dose 7 administered,,,Dose 7,dose_7
dose_dt_8,,Day dose 8 administered,,,Dose 8,dose_8
dose_dt_9,,Day dose 9 administered,,,Dose 9,dose_9
dose_int_1,,Hours since randomization,,,Dose 1,dose_1
dose_int_10,,Hours since last dose:,,,Dose 10,dose_10
dose_int_2,,Hours since last dose:,,,Dose 2,dose_2
dose_int_3,,Hours since last dose:,,,Dose 3,dose_3
dose_int_4,,Hours since last dose:,,,Dose 4,dose_4
dose_int_5,,Hours since last dose:,,,Dose 5,dose_5
dose_int_6,,Hours since last dose:,,,Dose 6,dose_6
dose_int_7,,Hours since last dose:,,,Dose 7,dose_7
dose_int_8,,Hours since last dose:,,,Dose 8,dose_8
dose_int_9,,Hours since last dose:,,,Dose 9,dose_9
dose_notadm_1,,Reason study drug dose 1 not administered,,,Dose 1,dose_1
dose_notadm_10,,Reason study drug dose 10 not administered,,,Dose 10,dose_10
dose_notadm_2,,Reason study drug dose 2 not administered,,,Dose 2,dose_2
dose_notadm_3,,Reason study drug dose 3 not administered,,,Dose 3,dose_3
dose_notadm_4,,Reason study drug dose 4 not administered,,,Dose 4,dose_4
dose_notadm_5,,Reason study drug dose 5 not administered,,,Dose 5,dose_5
dose_notadm_6,,Reason study drug dose 6 not administered,,,Dose 6,dose_6
dose_notadm_7,,Reason study drug dose 7 not administered,,,Dose 7,dose_7
dose_notadm_8,,Reason study drug dose 8 not administered,,,Dose 8,dose_8
dose_notadm_9,,Reason study drug dose 9 not administered,,,Dose 9,dose_9
dose_notadmoth_1,,Other reason study drug dose 1 not administered,,,Dose 1,dose_1
dose_notadmoth_10,,Other reason study drug dose 10 not administered,,,Dose 10,dose_10
dose_notadmoth_2,,Other reason study drug dose 2 not administered,,,Dose 2,dose_2
dose_notadmoth_3,,Other reason study drug dose 3 not administered,,,Dose 3,dose_3
dose_notadmoth_4,,Other reason study drug dose 4 not administered,,,Dose 4,dose_4
dose_notadmoth_5,,Other reason study drug dose 5 not administered,,,Dose 5,dose_5
dose_notadmoth_6,,Other reason study drug dose 6 not administered,,,Dose 6,dose_6
dose_notadmoth_7,,Other reason study drug dose 7 not administered,,,Dose 7,dose_7
dose_notadmoth_8,,Other reason study drug dose 8 not administered,,,Dose 8,dose_8
dose_notadmoth_9,,Other reason study drug dose 9 not administered,,,Dose 9,dose_9
dose_notadmspec_1,,Please give detailed description of why study drug dose 1 was not administered,,,Dose 1,dose_1
dose_notadmspec_10,,Please give detailed description of why study drug dose 10 was not administered,,,Dose 10,dose_10
dose_notadmspec_2,,Please give detailed description of why study drug dose 2 was not administered,,,Dose 2,dose_2
dose_notadmspec_3,,Please give detailed description of why study drug dose 3 was not administered,,,Dose 3,dose_3
dose_notadmspec_4,,Please give detailed description of why study drug dose 4 was not administered,,,Dose 4,dose_4
dose_notadmspec_5,,Please give detailed description of why study drug dose 5 was not administered,,,Dose 5,dose_5
dose_notadmspec_6,,Please give detailed description of why study drug dose 6 was not administered,,,Dose 6,dose_6
dose_notadmspec_7,,Please give detailed description of why study drug dose 7 was not administered,,,Dose 7,dose_7
dose_notadmspec_8,,Please give detailed description of why study drug dose 8 was not administered,,,Dose 8,dose_8
dose_notadmspec_9,,Please give detailed description of why study drug dose 9 was not administered,,,Dose 9,dose_9
dose_tm_1,,Time dose 1 administered,,,Dose 10,dose_10
dose_tm_10,,Time dose 10 administered,,,Dose 2,dose_2
dose_tm_2,,Time dose 2 administered,,,Dose 3,dose_3
dose_tm_3,,Time dose 3 administered,,,Dose 4,dose_4
dose_tm_4,,Time dose 4 administered,,,Dose 5,dose_5
dose_tm_5,,Time dose 5 administered,,,Dose 6,dose_6
dose_tm_6,,Time dose 6 administered,,,Dose 7,dose_7
dose_tm_7,,Time dose 7 administered,,,Dose 8,dose_8
dose_tm_8,,Time dose 8 administered,,,Dose 9,dose_9
dose_tm_9,,Time dose 9 administered,,,Dose 9,dose_9
dose_yn_1,,Was dose 1 of study medication given?Dose 1 is scheduled to be given 4 hours after randomization,,,Dose 1,dose_1
dose_yn_10,,Was dose 10 of study medication given?Dose 10 is scheduled to be given between 8 and 16 hours after prior scheduled dose.,,,Dose 10,dose_19
dose_yn_2,,Was dose 2 of study medication given?Dose 2 is scheduled to be given between 8 and 16 hours after prior scheduled dose,,,Dose 2,dose_2
dose_yn_3,,Was dose 3 of study medication given?Dose 3 is scheduled to be given between 8 and 16 hours after prior scheduled dose.,,,Dose 3,dose_3
dose_yn_4,,Was dose 4 of study medication given?Dose 4 is scheduled to be given between 8 and 16 hours after prior scheduled dose.,,,Dose 4,dose_4
dose_yn_5,,Was dose 5 of study medication given?Dose 5 is scheduled to be given between 8 and 16 hours after prior scheduled dose.,,,Dose 5,dose_5
dose_yn_6,,Was dose 6 of study medication given?Dose 6 is scheduled to be given between 8 and 16 hours after prior scheduled dose.,,,Dose 6,dose_6
dose_yn_7,,Was dose 7 of study medication given?Dose 7 is scheduled to be given between 8 and 16 hours after prior scheduled dose.,,,Dose 7,dose_7
dose_yn_8,,Was dose 8 of study medication given?Dose 8 is scheduled to be given between 8 and 16 hours after prior scheduled dose.,,,Dose 8,dose_8
dose_yn_9,,Was dose 9 of study medication given?Dose 9 is scheduled to be given between 8 and 16 hours after prior scheduled dose.,,,Dose 9,dose_9
ekg_clindt_2,,Day of EKG or rhythm strip from which QTc was assessed,,,Day 2 Assessment,day_2_assessment
ekg_clindt_3,,Day of EKG or rhythm strip from which QTc was assessed,,,Day 3 Assessment,day_3_assessment
ekg_clindt_4,,Day of EKG or rhythm strip from which QTc was assessed,,,Day 4 Assessment,day_4_assessment
ekg_clindt_5,,Day of EKG or rhythm strip from which QTc was assessed,,,Day 5 Assessment,day_5_assessment
ekg_clindtm_5,,Time of EKG or rhythm strip from which QTc was assessed,,,Day 5 Assessment,day_5_assessment
ekg_clinobt_3,,Were any of the clinically obtained EKGs obtained between 24 and 48 hours after the first administration of the study drug?,,,Day 3 Assessment,day_3_assessment
ekg_clinqtc_2,,"Value for QTc, ms",,,Day 2 Assessment,day_2_assessment
ekg_clinqtc_3,,"Value for QTc, ms",,,Day 3 Assessment,day_3_assessment
ekg_clinqtc_4,,"Value for QTc, ms",,,Day 4 Assessment,day_4_assessment
ekg_clinqtc_5,,"Value for QTc, ms",,,Day 5 Assessment,day_5_assessment
ekg_clintm_2,,Time of EKG or rhythm strip from which QTc was assessed,,,Day 2 Assessment,day_2_assessment
ekg_clintm_3,,Time of EKG or rhythm strip from which QTc was assessed,,,Day 3 Assessment,day_3_assessment
ekg_clintm_4,,Time of EKG or rhythm strip from which QTc was assessed,,,Day 4 Assessment,day_4_assessment
ekg_clinyn_2,,Was a clinical EKG performed on this study day?,,,Day 2 Assessment,day_2_assessment
ekg_clinyn_3,,Was a clinical EKG performed on this study day?,,,Day 3 Assessment,day_3_assessment
ekg_clinyn_4,,Was a clinical EKG performed on this study day?,,,Day 4 Assessment,day_4_assessment
ekg_clinyn_5,,Was a clinical EKG performed on this study day?,,,Day 5 Assessment,day_5_assessment
ekg_studydt_3,,Day of EKG or rhythm strip from which QTc was assessed,,,Day 3 Assessment,day_3_assessment
ekg_studyno_3,,Why was an assessment of QTc not performed 24-48 hours after first administration of study drug?,,,Day 3 Assessment,day_3_assessment
ekg_studynoreas_3,,Describe why assessment of QTc was not performed at 24-48 hours after first dose of study drug,,,Day 3 Assessment,day_3_assessment
ekg_studyqtc_3,,"Value for QTc, ms",,,Day 3 Assessment,day_3_assessment
ekg_studytm_3,,Time of EKG or rhythm strip from which QTc was assessed,,,Day 3 Assessment,day_3_assessment
ekg_studyyn_3,,Was an assessment of QTc with EKG or rhythm strip performed 24-48 hours after first administration of study drug?,,,Day 3 Assessment,day_3_assessment
extract_dt,Extract day,,Extract day,,Form Unknown,form_unknown
ie_approved,,Did the treating clinicians provide permission to approach patient/LAR for informed consent discussion,,,Eligibility Criteria,eligibility_criteria
ie_arisymptoms___cou,,Which symptoms of acute respiratory infection does the patient present? (choice=Cough),,Which symptoms of acute respiratory infection does the patient present? Cough,Eligibility Criteria,eligibility_criteria
ie_arisymptoms___fev,,Which symptoms of acute respiratory infection does the patient present? (choice=Fever (> 37.5° C / 99.5° F)),,Which symptoms of acute respiratory infection does the patient present? Fever (> 37.5¡ C / 99.5¡ F),Eligibility Criteria,eligibility_criteria
ie_arisymptoms___sob,,Which symptoms of acute respiratory infection does the patient present? (choice=Shortness of breath),,Which symptoms of acute respiratory infection does the patient present? Shortness of breath,Eligibility Criteria,eligibility_criteria
ie_arisymptoms___st,,Which symptoms of acute respiratory infection does the patient present? (choice=Sore throat),,Which symptoms of acute respiratory infection does the patient present? Sore throat,Eligibility Criteria,eligibility_criteria
ie_eallergy,,"Known allergy to hydroxychloroquine, chloroquine, or amodiaquine",,,Eligibility Criteria,eligibility_criteria
ie_eari,,Symptoms of acute respiratory infection for >10 days before randomization,,,Eligibility Criteria,eligibility_criteria
ie_ebreast,,Breast feeding,,,Eligibility Criteria,eligibility_criteria
ie_echlor,,Receipt of >1 dose of hydroxychloroquine or chloroquine in the 10 days prior to randomization,,,Eligibility Criteria,eligibility_criteria
ie_econtra,,"Receipt in the 12 hours prior to randomization, or planned administration during the 5-day study period, of a contraindicated medication that treating clinicians feel cannot be substituted (any of the following):  Amiodarone Cimetidine Dofetilide Phenobarb",,,Eligibility Criteria,eligibility_criteria
ie_elate,,More than 48 hours from hospitalization,,,Eligibility Criteria,eligibility_criteria
ie_eligible,,"Patient is eligible (1=yes, 0=no)",,,Eligibility Criteria,eligibility_criteria
ie_elongqt,,Diagnosis of Long QT syndrome,,,Eligibility Criteria,eligibility_criteria
ie_enocontact,,Refusal or Iinability to be contacted on Day 15 for clinical outcome assessment if discharged prior to Day 15,,,Eligibility Criteria,eligibility_criteria
ie_enpo,,Inability to receive enteral medications,,,Eligibility Criteria,eligibility_criteria
ie_enrolled,,Was the patient enrolled?,,,Eligibility Criteria,eligibility_criteria
ie_eporphyria,,Porphyria cutanea tarda,,,Eligibility Criteria,eligibility_criteria
ie_epreg,,Pregnant,,,Eligibility Criteria,eligibility_criteria
ie_epris,,Prisoner,,,Eligibility Criteria,eligibility_criteria
ie_eqtc500,,QTc >500 ms on electrocardiogram within 72 hours prior to randomization,,,Eligibility Criteria,eligibility_criteria
ie_equipoise,,The treating clinical team does not believe equipoise exists regarding the use of hydroxychloroquine for the treatment of this patient,,,Eligibility Criteria,eligibility_criteria
ie_eseizure,,Seizure disorder,,,Eligibility Criteria,eligibility_criteria
ie_iok,,"Did the patient meet all inclusion criteria?  Age 18 years Currently hospitalized or in an emergency department with anticipated hospitalization. Symptoms of acute respiratory infection, defined as one or more of the following:  cough fever (> 37.5° C / 9",,"Did the patient meet all inclusion criteria? Age ³18 years Currently hospitalized or in an emergency department with anticipated hospitalization. Symptoms of acute respiratory infection, defined as one or more of the following: cough fever (> 37.5¡ C / 99.5¡ F) shortness of breath sore throat Laboratory- confirmed SARS-CoV-2 infection within the past 10 days or SARS-CoV-2 infection within the past 10 days or SARS-CoV-2 laboratory test result pending plus a high clinical suspicion for COVID-19 as indicated by fulfilling all of the following: Cough with duration <= 10 days Bilateral pulmonary infiltrates on chest imaging (radiograph, computed tomography or ultrasound) or new hypoxemia defined as SpO2 <= 94% on room air No alternative explanation for symptoms of acute respiratory infection",Eligibility Criteria,eligibility_criteria
ie_iok_v2,,"Did the patient meet all inclusion criteria?Age 18 yearsCurrently hospitalized or in an emergency department with anticipated hospitalization.Symptoms of acute respiratory infection, defined as one or more of the following: coughfever (> 37.5° C / 99.5° F",,"Did the patient meet all inclusion criteria?Age ³18 yearsCurrently hospitalized or in an emergency department with anticipated hospitalization.Symptoms of acute respiratory infection, dened as one or more of the following: coughfever (> 37.5¡ C / 99.5¡ F)shortness of breathsore throatLaboratory- conrmed SARS-CoV-2 infection within the past 10 days prior to randomization. ",Eligibility Criteria,eligibility_criteria
ie_labstatus,,Specify the laboratory confirmation status:,,,Eligibility Criteria,eligibility_criteria
ie_nene,,Not excluded but not enrolled,,,Eligibility Criteria,eligibility_criteria
ie_nenespec,,Please explain why the patient was not enrolled:,,,Eligibility Criteria,eligibility_criteria
ie_notenrolledreas,,Reason not enrolled?,,,Eligibility Criteria,eligibility_criteria
ie_notenrolledreas_other,,If Other please describe:,,,Eligibility Criteria,eligibility_criteria
ie_prevenroll,,Previous enrollment in this trial,,,Eligibility Criteria,eligibility_criteria
ie_version,,IE form version,,,Eligibility Criteria,eligibility_criteria
ih_aeassess_2,,"Adverse Event Assessment Study Day 2On this study day, study personnel assessed for Adverse Events (and if found recorded AE in AE CRF).",,,Day 2 Assessment,day_2_assessment
ih_aeassess_3,,"Adverse Event Assessment Study Day 3On this study day, study personnel assessed for Adverse Events (and if found recorded AE in AE CRF).",,,Day 3 Assessment,day_3_assessment
ih_aeassess_4,,"Adverse Event Assessment Study Day 4On this study day, study personnel assessed for Adverse Events (and if found recorded AE in AE CRF).",,,Day 4 Assessment,day_4_assessment
ih_aeassess_5,,"Adverse Event Assessment Study Day 5On this study day, study personnel assessed for Adverse Events (and if found recorded AE in AE CRF).",,,Day 5 Assessment,day_5_assessment
ih_aeassessreas_2,,Why were AEs not assessed?,,,Day 2 Assessment,day_2_assessment
ih_aeassessreas_3,,Why were AEs not assessed?,,,Day 3 Assessment,day_3_assessment
ih_aeassessreas_4,,Why were AEs not assessed?,,,Day 4 Assessment,day_4_assessment
ih_aeassessreas_5,,Why were AEs not assessed?,,,Day 5 Assessment,day_5_assessment
ih_contra_2,,Contraindicated Medications Day 2Review the electronic health record for orders or administration of the following medications that are considered CONTRAINDICATED:amiodaronechloroquinecimetidinedofetilidephenobarbitalphenytoinsotalol,,,Day 2 Assessment,day_2_assessment
ih_contra_3,,Contraindicated Medications Day 3Review the electronic health record for orders or administration of the following medications that are considered CONTRAINDICATED:amiodaronechloroquinecimetidinedofetilidephenobarbitalphenytoinsotalol,,,Day 3 Assessment,day_3_assessment
ih_contra_4,,Contraindicated Medications Day 4Review the electronic health record for orders or administration of the following medications that are considered CONTRAINDICATED:amiodaronechloroquinecimetidinedofetilidephenobarbitalphenytoinsotalol,,,Day 4 Assessment,day_4_assessment
ih_contra_5,,Contraindicated Medications Day 5Review the electronic health record for orders or administration of the following medications that are considered CONTRAINDICATED:amiodaronechloroquinecimetidinedofetilidephenobarbitalphenytoinsotalol,,,Day 5 Assessment,day_5_assessment
ih_contraoccur_2,,Describe what occurred when it was discovered that patient was receiving study drug and a CONTRAINDICATED medication,,,Day 2 Assessment,day_2_assessment
ih_contraoccur_3,,Describe what occurred when it was discovered that patient was receiving study drug and a CONTRAINDICATED medication,,,Day 3 Assessment,day_3_assessment
ih_contraoccur_4,,Describe what occurred when it was discovered that patient was receiving study drug and a CONTRAINDICATED medication,,,Day 4 Assessment,day_4_assessment
ih_contraoccur_5,,Describe what occurred when it was discovered that patient was receiving study drug and a CONTRAINDICATED medication,,,Day 5 Assessment,day_5_assessment
ih_interact_2,,"Medication Interaction Day 2On this study day, review the electronic health record for orders or administration of the following medications that are considered to have a potential interaction with study drug:ampicillinantacidscyclosporinedigoxinflecainide",,,Day 2 Assessment,day_2_assessment
ih_interact_3,,"Medication Interaction Day 2On this study day, review the electronic health record for orders or administration of the following medications that are considered to have a potential interaction with study drug:ampicillinantacidscyclosporinedigoxinflecainide",,,Day 3 Assessment,day_3_assessment
ih_interact_4,,"Medication Interaction Day 4On this study day, review the electronic health record for orders or administration of the following medications that are considered to have a potential interaction with study drug:ampicillinantacidscyclosporinedigoxinflecainide",,,Day 4 Assessment,day_4_assessment
ih_interact_5,,"Medication Interaction Day 5On this study day, review the electronic health record for orders or administration of the following medications that are considered to have a potential interaction with study drug:ampicillinantacidscyclosporinedigoxinflecainide",,,Day 5 Assessment,day_5_assessment
ih_interactoccur_2,,Describe what occurred when it was discovered that patient was receiving study drug and a medication with a potential interaction,,,Day 2 Assessment,day_2_assessment
ih_interactoccur_3,,Describe what occurred when it was discovered that patient was receiving study drug and a medication with a potential interaction,,,Day 3 Assessment,day_3_assessment
ih_interactoccur_4,,Describe what occurred when it was discovered that patient was receiving study drug and a medication with a potential interaction,,,Day 4 Assessment,day_4_assessment
ih_interactoccur_5,,Describe what occurred when it was discovered that patient was receiving study drug and a medication with a potential interaction,,,Day 5 Assessment,day_5_assessment
ih_safeassess_2,,"Safety Outcome Assessment Study Day 2On this study day, study personnel assessed for the occurrence of safety outcomes that might prompt discontinuation of the study drug (and if found recorded in Safety Outcomes CRF).",,,Day 2 Assessment,day_2_assessment
ih_safeassess_3,,"Safety Outcome Assessment Study Day 3On this study day, study personnel assessed for the occurrence of safety outcomes that might prompt discontinuation of the study drug (and if found recorded in Safety Outcomes CRF).",,,Day 3 Assessment,day_3_assessment
ih_safeassess_4,,"Safety Outcome Assessment Study Day 4On this study day, study personnel assessed for the occurrence of safety outcomes that might prompt discontinuation of the study drug (and if found recorded in Safety Outcomes CRF).",,,Day 4 Assessment,day_4_assessment
ih_safeassess_5,,"Safety Outcome Assessment Study Day 5On this study day, study personnel assessed for the occurrence of safety outcomes that might prompt discontinuation of the study drug (and if found recorded in Safety Outcomes CRF).",,,Day 5 Assessment,day_5_assessment
ih_safeassessreas_2,,Why were safety outcomes not assessed?,,,Day 2 Assessment,day_2_assessment
ih_safeassessreas_3,,Why were safety outcomes not assessed?,,,Day 3 Assessment,day_3_assessment
ih_safeassessreas_4,,Why were safety outcomes not assessed?,,,Day 4 Assessment,day_4_assessment
ih_safeassessreas_5,,Why were safety outcomes not assessed?,,,Day 5 Assessment,day_5_assessment
ih_yn_2,,"Was the patient located in the study hospital at any time on study day 2 (i.e., admitted, inpatient)?",,,Day 2 Assessment,day_2_assessment
ih_yn_3,,"Was the patient located in the study hospital at any time on study day 3 (i.e., admitted, inpatient)?",,,Day 3 Assessment,day_3_assessment
